v1	V(n001)/I(R1)
Step Information: Vg=-3  (Run: 1/8)
4.600000000000000e+000	5.197446e+002
4.699999999999999e+000	5.309603e+002
4.799999999999999e+000	5.421716e+002
4.899999999999999e+000	5.533786e+002
5.000000000000000e+000	5.645811e+002
Step Information: Vg=0  (Run: 7/8)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	1.450435e+002
2.000000000000000e-001	1.471610e+002
3.000000000000000e-001	1.493435e+002
4.000000000000000e-001	1.515939e+002
5.000000000000000e-001	1.539155e+002
6.000000000000000e-001	1.563118e+002
7.000000000000000e-001	1.587864e+002
7.999999999999999e-001	1.613431e+002
8.999999999999999e-001	1.639862e+002
9.999999999999999e-001	1.667202e+002
1.100000000000000e+000	1.695497e+002
1.200000000000000e+000	1.724799e+002
1.300000000000000e+000	1.755162e+002
1.400000000000000e+000	1.786645e+002
1.500000000000000e+000	1.819312e+002
1.600000000000000e+000	1.853231e+002
1.700000000000000e+000	1.888474e+002
1.800000000000001e+000	1.925121e+002
1.900000000000001e+000	1.963257e+002
2.000000000000000e+000	2.002976e+002
2.100000000000001e+000	2.044377e+002
2.200000000000001e+000	2.087571e+002
2.300000000000001e+000	2.132675e+002
2.400000000000001e+000	2.179820e+002
2.500000000000001e+000	2.229148e+002
2.600000000000001e+000	2.280813e+002
2.700000000000001e+000	2.334986e+002
2.800000000000001e+000	2.391854e+002
2.900000000000001e+000	2.451623e+002
3.000000000000001e+000	2.514521e+002
3.100000000000001e+000	2.580800e+002
3.200000000000002e+000	2.650741e+002
3.300000000000002e+000	2.724656e+002
3.400000000000002e+000	2.802892e+002
3.500000000000002e+000	2.884763e+002
3.600000000000002e+000	2.966883e+002
3.700000000000002e+000	3.048971e+002
3.800000000000002e+000	3.131027e+002
3.900000000000002e+000	3.213050e+002
4.000000000000002e+000	3.295042e+002
4.100000000000001e+000	3.377000e+002
4.200000000000001e+000	3.458927e+002
4.300000000000001e+000	3.540821e+002
4.400000000000000e+000	3.622683e+002
4.500000000000000e+000	3.704513e+002
4.600000000000000e+000	3.786310e+002
4.699999999999999e+000	3.868076e+002
4.799999999999999e+000	3.949809e+002
4.899999999999999e+000	4.031510e+002
5.000000000000000e+000	4.113179e+002
Step Information: Vg=500m  (Run: 8/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	1.265549e+002
2.000000000000000e-001	1.281168e+002
3.000000000000000e-001	1.297537e+002
4.000000000000000e-001	1.314361e+002
5.000000000000000e-001	1.331647e+002
6.000000000000000e-001	1.349414e+002
7.000000000000000e-001	1.367681e+002
7.999999999999999e-001	1.386470e+002
8.999999999999999e-001	1.405801e+002
9.999999999999999e-001	1.425700e+002
1.100000000000000e+000	1.446191e+002
1.200000000000000e+000	1.467301e+002
1.300000000000000e+000	1.489058e+002
1.400000000000000e+000	1.511494e+002
1.500000000000000e+000	1.534639e+002
1.600000000000000e+000	1.558529e+002
1.700000000000000e+000	1.583199e+002
1.800000000000001e+000	1.608688e+002
1.900000000000001e+000	1.635039e+002
2.000000000000000e+000	1.662294e+002
2.100000000000001e+000	1.690503e+002
2.200000000000001e+000	1.719716e+002
2.300000000000001e+000	1.749987e+002
2.400000000000001e+000	1.781374e+002
2.500000000000001e+000	1.813941e+002
2.600000000000001e+000	1.847757e+002
2.700000000000001e+000	1.882892e+002
2.800000000000001e+000	1.919428e+002
2.900000000000001e+000	1.957448e+002
3.000000000000001e+000	1.997046e+002
3.100000000000001e+000	2.038321e+002
3.200000000000002e+000	2.081383e+002
3.300000000000002e+000	2.126351e+002
3.400000000000002e+000	2.173352e+002
3.500000000000002e+000	2.222530e+002
3.600000000000002e+000	2.274038e+002
3.700000000000002e+000	2.328046e+002
