v1	I(R1)
Step Information: Vg=-3  (Run: 1/8)
4.100000000000001e+000	6.059153e-003
4.200000000000001e+000	6.060349e-003
4.300000000000001e+000	6.061545e-003
4.400000000000000e+000	6.062741e-003
4.500000000000000e+000	6.063937e-003
4.600000000000000e+000	6.065133e-003
4.699999999999999e+000	6.066329e-003
4.799999999999999e+000	6.067525e-003
4.899999999999999e+000	6.068720e-003
5.000000000000000e+000	6.069916e-003
Step Information: Vg=-500m  (Run: 6/8)
0.000000000000000e+000	9.017047e-013
1.000000000000000e-001	5.846212e-004
2.000000000000000e-001	1.149491e-003
3.000000000000000e-001	1.694574e-003
4.000000000000000e-001	2.219835e-003
5.000000000000000e-001	2.725238e-003
6.000000000000000e-001	3.210746e-003
7.000000000000000e-001	3.676326e-003
7.999999999999999e-001	4.121940e-003
8.999999999999999e-001	4.547553e-003
9.999999999999999e-001	4.953127e-003
1.100000000000000e+000	5.338629e-003
1.200000000000000e+000	5.704020e-003
1.300000000000000e+000	6.049264e-003
1.400000000000000e+000	6.374326e-003
1.500000000000000e+000	6.679168e-003
1.600000000000000e+000	6.963753e-003
1.700000000000000e+000	7.228045e-003
1.800000000000001e+000	7.472007e-003
1.900000000000001e+000	7.695601e-003
2.000000000000000e+000	7.898792e-003
2.100000000000001e+000	8.081540e-003
2.200000000000001e+000	8.243810e-003
2.300000000000001e+000	8.385564e-003
2.400000000000001e+000	8.506764e-003
2.500000000000001e+000	8.607372e-003
2.600000000000001e+000	8.687351e-003
2.700000000000001e+000	8.746662e-003
2.800000000000001e+000	8.785269e-003
2.900000000000001e+000	8.803133e-003
3.000000000000001e+000	8.805665e-003
3.100000000000001e+000	8.807405e-003
3.200000000000002e+000	8.809145e-003
3.300000000000002e+000	8.810885e-003
3.400000000000002e+000	8.812625e-003
3.500000000000002e+000	8.814366e-003
3.600000000000002e+000	8.816105e-003
3.700000000000002e+000	8.817845e-003
3.800000000000002e+000	8.819586e-003
3.900000000000002e+000	8.821325e-003
4.000000000000002e+000	8.823065e-003
4.100000000000001e+000	8.824806e-003
4.200000000000001e+000	8.826545e-003
4.300000000000001e+000	8.828285e-003
4.400000000000000e+000	8.830026e-003
4.500000000000000e+000	8.831766e-003
4.600000000000000e+000	8.833505e-003
4.699999999999999e+000	8.835246e-003
